aaa1,"Aardewerk enz. Pos.A, M"
teww,"TK, stemmen op de nr.1 van Wereld Welzijns Bewustwording"
txik,"TK, stemmen op de Internationale Kommunistenbond"
txkp,"TK, stemmen op de Kleine Partij"
txne,"TK, stemmen op de Nederlandse Evolutie Partij"
txpi,"TK, stemmen op de Partij van Rijksgenoten"
txpl,"TK, stemmen op de Partij Leefbaar Nederland"
txpt,"TK, stemmen op de Partij tot likwidatie van Nederland"
txre,"TK, stemmen op de Realisten 81"
txro,"TK, stemmen op de Rechtse-Volkspartij"
txso,"TK, stemmen op Samen Overleven of Sterven"
txvp,"TK, stemmen op de Vrede Partij"
txww,"TK, stemmen op Wereld Welzijns Bewustwording"
tepj,"TK, stemmen op de nr.1 van de Progressieve Partij"
txpj,"TK, stemmen op de Progressieve Partij"
kdtk,Kiesdistrict: Tweede Kamer verkiezingen
kdps,Kiesdistrict: Provinciale Staten verkiezingen
egcb,Economisch-geografische klassifikatie (42 regios)
egcc,Economisch-geografische klassifikatie (54 regios)
egcd,Economisch-geografische klassifikatie (78 regios)
egca,Economisch-geografische klassifikatie (129 regios)
ecsa,Economisch-culturele verzorgingsgebieden (49 regios)
genr,Nummer van het gewest
sanr,Schoolarrondissementsnummer
psz1,% schoolverzuim 6-12 jarigen M
psz2,% schoolverzuim 6-12 jarigen V
psz3,% schoolverzuim 6-12 jarigen
psp1,% schoolverzuim 6-12 jarigen per schoolarrondissement M
psp2,% schoolverzuim 6-12 jarigen per schoolarrondissement V
psp3,% schoolverzuim 6-12 jarigen per schoolarrondissement
pap3,% alfabetisme bij land- en zeemilitie per schoolarr.
sdnr,Schooldistriktsnummer
uilo,Uitgaven Lager Onderwijs (hele guldens)
svz1,Schoolverzuimers 6-12 jarigen M
svz2,Schoolverzuimers 6-12 jarigen V
once,Educational centre (indicated value is coded)
conc,Complete or incomplete educational centre  (3 cat.)
gulo,Gemeentelijke uitgaven Lager Onderwijs (hele guldens)
schg,Gemeente heft wel of geen schoolgeld
bkks,Gemeente heeft wel of geen bewaar- of kleinkinderschool
vdv1,"14-17, nog volledig dagonderwijs volgend, M"
vdu1,"14-17,voll. dagond. volgend, agr. uitgebreid en l.m. nivo, M"
vda1,"14-17,voll. dagond. volgend, alg. ond. op uitgebr. l.nivo, M"
vdl1,"14-17, nog voll. dagond. volgend, op uitgebr. lager nivo, M"
obl2,"25-34, uitsluitend opleiding op basis en lager nivo, V"
obl3,"25-34, uitsluitend opleiding op basis en lager nivo"
mos2,"25-34, met semi-hoger en hoger nivo, V"
mos3,"25-34, met semi-hoger en hoger nivo"
vdv2,"14-17, nog volledig dagonderwijs volgend, V"
sbm2,"25-34, samenw. met echtgen., b. en o. m., s.-h. en h.nivo, V"
som2,"25-34 samenw. met echtgen., opl. m., semi-h. en h. nivo, V"
onvp,ondertekenaren van het volkspetitionement van 1878
aael,Aantal aansluitingen electriciteit
aaga,Aantal aansluitingen gas
aate,Aantal aansluitingen telefoon
aaro,Aantal aangemelde radio ontvangsttoestellen
adar,Aantal op distributiecentrales aangesloten radios
aper,Aantal personenautos
avra,Aantal vrachtautos
amot,Aantal motorbussen
amtm,Aantal motorrijtuigen op 2 of meer wielen
agpb,Aandeel der gemeente in s Rijks personele belasting
prbd,% aangeslagenen Rijksinkomstenbel. 33 in % beroepsbev. 30
pvar,% aangesl. Vermogensbel. in proc. aangesl. Rijksink.bel.33
gisg,Gemeentelijke inkomsten aan schoolgeld (guldens)
bhpb,Bedrag in hoofdsom der personele belasting (1859/60) in gld
hamt,Huishoudens en alleenstaanden met telefoonaansluiting
ahbk,Aantal ha. bebouwde kom
ahvg,Aantal ha. versteende grond buiten bebouwde kom
ahwg,Aantal ha. woeste grond
ahcg,Aantal ha. cultuurgrond
tahe,Totaal aantal ha. (excl. kwelders)
zofk,Overwegend zand (1) of kleigrond (0)
falw,Binnengewest. factorscore Allochtone welgestelden
awar,Aantal Warenhuizen
awvo,Aantal winkels in Voedings- en Genotmiddelen
awkl,Aantal winkels in Kleding e.d.
awhh,Aantal winkels in Huishoudelijke Artikelen e.d.
awcu,Aantal winkels in Culturele Behoeften
awdi,Aantal winkels in Diversen
awin,Aantal winkels
opbu,Oppervlakte in bunders
opha,Oppervlakte (afgerond op hectaren)
belc,Ontvanger der rijksbelastingen
chco,Kamer van koophandel
reag,Regionaal arbeidsbureau
bola,Raad van arbeid
dico,Arrondissementsrechtbank
coco,Kantongerecht
poli,Rijks- of gemeentepolitie
hoce,Aantal ziekenhuisbedden
adce,Bestuurlijk centrum (waarde als code)
ecce,Economisch centrum (3 cat.)
cuce,Cultureel centrum (3 cat.)
land,Oppervlakte in km_
abww,Aantal bewoonde woningen
aoww,Aantal onbewoonde woningen
awbe,Aantal woningen bewoond door de eigenaar
awon,Aantal woningen
awhm,Aantal woningen met huurwaarde 2040 gulden of meer
awmd,Aantal woningen met max. 3 vertrekken
awkb,"Aant. won. met keuken >4m_,badkamer,cv en privaat binnen won"
anbw,Aantal nieuwbouwwoningen 1965-1971
pegw,% eengezinswoningen
alda,Aantal landelijke dagbladen
arda,Aantal regionale dagbladen
rpvh,Reistijd prive-vervoer van gemeente naar hoofdplaats gewest
rovh,Reistijd openbaar vervoer van gem. naar hoofdplaats gewest
sfor,Saldo inkomende of uitgaande forensen
